video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"7UOsMORE9DQ","Galat (Official Video) Asees Kaur | Rubina Dilaik, Paras Chhabra | Vikas | Raj Fatehpur","2021-04-06T05:30:01Z","UCye6Oz0mg46S362LwARGVcA","VYRLOriginals","10","21.06.04","Universal Music India|asees kaur songs|asees kaur|asees kaur galat|asees kaur new song|rubina dilaik|rubina dilaik interview|rubina new song|rubina paras song|paras chhabra|paras chhabra new song|paras chhabra song|paras chhabra rubina dilaik song|raj fatehpur|raj fatehpur song|asees kaur all songs|new song|new song 2021|rubina dilaik new song|rubina dilaik bigg boss|vyrl originals|vyrl original|rubina dilaik song|galat song|galat|new songs|asees","4738197","456290","14082","63110","https://i.ytimg.com/vi/7UOsMORE9DQ/default.jpg","False","False","VYRL Originals presents Galat by Asees Kaur and starring Bigg Boss fans two favourite contestants - Big Boss 14 Winner Rubina Dilaik and Paras Chhabra. Keeping melancholy as the central theme of this song, the hit trio of – Vikas as composer, Sunny Vik as the producer and the lyricist Raj Fatehpur have worked their magic yet again on Galat. Directed By TRU Makers the story narrates a tale of love and betrayal, with stunning performances by Rubina and Paras as the protagonist who will compel you to see the story unfold till the end. Which scene or lyrics impressed you the most? Tell us in the comments below…#VYRLOriginals #RubinaDilaik #ParasChhabra🎶 Listen 🎧  🎶 Now On 📲 🤳♫ JioSaavn - https://www.jiosaavn.com/song/galat/RF4DWgxfVF8♫ Gaana - https://gaana.com/song/galat♫ Wynk - https://wynk.in/u/HmteEng78♫ Spotify - https://open.spotify.com/album/7v02B7tDzQHcPpgXHsZeEm♫ Resso - https://m.resso.app/ZSJ6KvryY/♫ Amazon Prime Music - https://music.amazon.in/albums/B091HTH6ZZ♫ Apple Music - https://music.apple.com/in/album/galat/1561142222?i=1561142475--------------------------------------------------------------------------------------------------------------------------------------------------🎧  Audio Credits🎤 Singer - Asees Kaur➟ Music Producer - Sunnyvik🎶 Composer - Vikas➟ Lyrics - Raj Fatehpur➟ Music Produced & Arranged - Sunnyvik & Vikas➟ Music  Programmer - Arun Maan & Meet Maan➟ Back Vocals & Alaap - Vikas➟ Acoustic & Electric Guitar- John Paul➟ Synth & Piano By - Vikas & Shibashish➟ Woodwinds - Ajay Parsanna➟ Mixed & Masterd By - Eric Pillai ( Future Sound Of Bombay )  ➟ Mix Assistant- Michael Edwin Pillai➟ Poster Design - Aman Khalsi🎬 Video Credits➟ Featuring - Rubina Dilaik, Paras Chhabra & Asees Kaur➟ Produced By - Black And White➟ Directors - Dilsher Singh And Khushpal Singh➟ Concept And Creative Director - Pooja Gujral➟ Asst Dir - Gurdeep And Bunty ➟ DOP - Robbo ➟ Editor - Garry Khatrao➟ Colorist - Onkar➟ Production Manager - V Sign● Paras Team➟ Hair And Makeup By Salman➟ Personal Boy - Irfan Sheikh➟ Stylist - Minal● Rubina Team➟ Stylist - Ashna Makhijani➟ Hair - Sharda Jhadhav ➟ Make up - Jignesh Shah--------------------------------------------------------------------------------------------------------------------------------------------------📝 LyricsWarka Hauli Hauli Karke Palat Ho Reha AeMainu Lagdey Meri Zindagi vichKuch Galat Ho Reha AeOh Kise Hor Da Hona Chahunde NeMainu Jhootha Pauna Chahunde NeMain Samjh Geyi hanZindagi Cho Mainu Dhakka dena Chahunde NeMere Nal Nal Eh Khali KhaliFalak Roo Reha AeMainu Lagdey Meri Zindagi vichKuch Galat Ho Reha AeMain Waqt Kina Barbad KaraJad Bewafa Nu Yaad KaraMain Paagal Ajj vi Har Kam NuTera Naam Len Baad KaraRAJ RAJ Main Yaad Teri Vich Khud Nu Kho RahiMain Ajj v Dardi Loka TonBarish Vich Roo RahiDhokha Mere Nal HayeAb Talak Ho Reha AeMainu Lagdey Meri Zindagi vichKuch Galat Ho Reha AeKabhi Kabhi Tere Dard Mein Haye Sharaab Bhi Piti HoonMaine Suna Main Tere Chehre Se Dikhayi Deti HoonMera Jeena Mera Jeena Zeher Ho Gya HaiMera Dil Mujhse Rooth Gya Haye Gair Ho Gya HaiPal Pal Mereya Saaha DaHaye Katal Ho Reha AeMainu Lagdey Meri Zindagi vichKuch Galat Ho Reha Ae--------------------------------------------------------------------------------------------------------------------------------------------------🤝 🤳 Follow VYRLOriginals Here:👉 Subscribe to VYRLOriginals: https://goo.gl/pKRj7R👉 Follow us on Instagram: https://www.instagram.com/VYRLOriginals👉 Like us on Facebook: https://www.facebook.com/VYRLOriginals👉 Follow us on Twitter: https://twitter.com/VYRLOriginalsLike || Share || Comment© Universal Music India Pvt. Ltd. ► About VYRL Originals: VYRL Originals is a platform from Universal Music India that is dedicated to building the culture and category of non-film music in India. VYRL Originals is the go-to destination for fans of non-film music who are seeking original content, meaningful music, and clutter-breaking slick videos."
"7VhUKU3QTUc","Glenn Maxwell’s first RCB training session | RCB Bold Diaires","2021-04-06T03:30:01Z","UCCq1xDJMBRF61kiOgU90_kw","Royal Challengers Bangalore","17","21.06.04","RCB|India|Cricket|Bengaluru|IPL|IPL 2021|Highlights|RCB Team IPL 2021|Royal Challengers Bangalore|Bio Bubble|Bold Diaries|Chennai|quarantine|Glenn Maxwell|Maxi|Glenn|Maxwell|Kyle Jamieson","2088970","139983","1821","7454","https://i.ytimg.com/vi/7VhUKU3QTUc/default.jpg","False","False","Maxwell came. Maxwell reverse swept. And Maxwell had fun. Watch The Big Show and Kyle Jamieson at their first practice session for #RCB ahead of #IPL2021.#PlayBold #WeAreChallengers"
"kmpGdIGqGX0","ZOMBIE - The Living Dead | Teaser | Round2hell","2021-04-06T06:16:04Z","UCOjRVCxaNntzhUhwUF-xCFA","Round2hell Vlog","24","21.06.04","Round2hell|round2hell teaser|round2hell trailer|round2hell new video teaser|zayn saifi|Nazim ahmed|wasim ahmed|zombie|Round2hell zombie|r2h|R2h zombie|The living dead","1835424","298019","2913","12631","https://i.ytimg.com/vi/kmpGdIGqGX0/default.jpg","False","False","Tomorrow at 6 P.M on : https://youtube.com/c/Round2hell"
"THA6rVoNKaU","Proteas vs Pakistan | 2nd #BetwayPinkODI Highlights | Imperial Wanderers Stadium, 4 April 2021","2021-04-04T20:24:11Z","UCzevPCfP7MtRqOB0ZkU5cwg","Cricket South Africa","24","21.06.04","-	Cricket|-	Cricket highlights|-	South Africa","7500491","119627","9569","0","https://i.ytimg.com/vi/THA6rVoNKaU/default.jpg","True","False","DOWNLOAD THE CSA APP https://csa.app.link/pu7eNVzJefbHighlights from the 2nd #BetwayPinkODI between South Africa and Pakistan taking place at Imperial Wanderers Stadium."
"aOlQhmyog7k","Khabbi Seat - Official Video | Ammy Virk Ft Sweetaj Brar | Happy Raikoti | Mix Singh | Burfi Music","2021-04-05T09:35:08Z","UCmSHlTXTeRBhkAKQTC7wPXA","Burfi Music","10","21.06.04","khabbi seat|Khabbi seat|khabbi seat ammy virk|khabi seat|ammy virk|ammy virk new song|happy raikoti new song|mix singh|sweetaj brar|Burfi music|b2gether|new punjabi song 2020|latest punjabi songs 2020|latest punjabi songs 2021|new punjabi songs 2021|new songs 2021|latest songs 2021","9316520","176324","5522","4028","https://i.ytimg.com/vi/aOlQhmyog7k/default.jpg","False","False","Burfi Music  brings to you Official Video of AMMY VIRK  Latest  song  KHABBI SEAT  featuring Sweetaj Brar  .The track is Penned down by Happy Raikoti  They will take you on a journey of long lost friendships and bonding.Subscribe To Our Channel For More Latest Songs :- https://bit.ly/2JlnMqH​♪ Full Song Available on ♪Gaana :- https://gaana.com/song/khabbi-seat-1Saavn :- https://bit.ly/3wuEDv2Wynk :- https://bit.ly/2PQYxzHAmazon :- https://amzn.to/3wmdF97Spotify :- https://spoti.fi/39HeM9MApple Music :- https://apple.co/3fGqyosSinger :- Ammy Virk Featuring :- Sweetaj Brar Music :- Mix Singh Lyrics :- Happy Raikoti Video :- B2Gether ProsPhotographer :- Taranjot Singh , Jasmeet SinghMakeup :- Pradeep Kumar PPSpot :- PawanSecurity :- Makhan , Pardeep , MandeepManager :- Nitika DassCostume By :- Roma Sharma Turban Stylish :- Beant Mavi Produced By :- Ammy Virk & Burfi Music Promotions :-  Gold MediaReels Promotion :- Boss ProductionLabel :- Burfi Music Digitally distributed by :- DM DigitalFor Queries Contact :- +917307322290https://www.instagram.com/desimelodies/This Is OfficialDo Share And Don't Forget To Subscribe : http://bit.ly/SubscribeAmmyVirkEnjoy And Stay Connected With Artist || AMMY VIRKWebsite - http://ammyvirk.inYoutube - http://bit.ly/SubscribeAmmyVirkFacebook - https://www.facebook.com/ITSAMMYVIRKTwitter - https://twitter.com/AMMYVIRAKInstagram - https://instagram.com/AMMYVIRKSnapChat - https://www.snapchat.com/add/AMMYVIRK13"
"vbhtB6fYxgQ","I Got Crazy Bunny Mp40 Permanent 😱 in 650 Rs || Desi Gamers","2021-04-06T03:15:03Z","UCuApqv2tNQ73S7gcfrfCSDw","Desi Gamers","20","21.06.04","free fire|desi gamers|amitbhai|desi army|bunny mp40|crazy bunny mp40|permanent crazy bunny mp40|airdrop in free fire|650 rs permanent bunny mp40|free fire bunny mp40|crazy bunny mp40 in free fire|rare mp40|garena free fire|free fire india|desi gamers bunny mp40","2004571","352447","3752","14448","https://i.ytimg.com/vi/vbhtB6fYxgQ/default.jpg","False","False","Instagram ► https://www.instagram.com/desigamers1/Discord ► https://discord.gg/desigamersFacebook ► https://www.facebook.com/DesiGamers2/TWITTER ► https://twitter.com/desigamers01Become a Member - https://www.youtube.com/channel/UCuApqv2tNQ73S7gcfrfCSDw/joinDusra Channal  - https://www.youtube.com/channel/UC6T0jZjpR5H6owSVJseum5A Hey Guys, I Am Amit,I make family friendly Gaming Entartaining videos (PC/Phone) for everyone to enjoy with their Friends & family.           Meri Video Dekhne Ke leye Headphone Ki Jarurat Nahi Padegi. Yaha Tak Padhne Ke Leye Sukriya.Disclaimer - This Videos Are Gameplay Videos For Entertainment Purpose Only, No Any Harmful Contents or visual in this video.For Livestreeam - Please Dont Send Me Suparchat Saying Add me in game or play with me or Channel Promotion, Main Nahi Kar Sakta aur Na Hi Karna Chahta.        Finally Permanent Crazy Bunny MP40 in free fire by airdrop"
"UpJ0idt6ZXo","Thalapathy Vijay Cycle Vote TN election 2021 | Trending Video | TFPC","2021-04-06T05:36:32Z","UCnkJqM6PA4WE8QQouruInAw","TFPC","24","21.06.04","vijay cycle vote|vijay cycle|thalapathy|thalapathu vijay cycle|thalapathy vijay|vijay mass|tn election|tn election 2021|tfpc|tfpc channel","320478","12985","484","586","https://i.ytimg.com/vi/UpJ0idt6ZXo/default.jpg","False","False","Thalapathy Vijay Cycle Vote TN election 2021 | Trending Video | TFPC#vijay #tnelection2021 #vijaycyclePlease Subscribe us: https://goo.gl/pQjhVqFor more Updates About Telugu Movies☛ For the latest Tollywood News updates - https://www.tfpc.in,Follow us on Twitter - https://twitter.com/tfpcinLike on Facebook - https://www.facebook.com/tfpcinFollow us on Instagram - https://instagram.com/tfpcin/"
"OER5OC7UENQ","Ripper - The Wanted Killer ft. @Karikku | Irul | Netflix India","2021-04-03T05:30:14Z","UCZSNzBgFub_WWil6TOTYwAg","Netflix India","24","21.06.04","netflix india|netflix|netflix shows|Karikku|malayalam|funny|comedy|webseries|lolan|george|karikk|karikke|film|trending|sketch|vine|therapara|kerala|mallu|kariku|malayalamtrending|karikkufliq","11076440","596147","10256","23576","https://i.ytimg.com/vi/OER5OC7UENQ/default.jpg","False","False","What happens when five friends decide to get together for a couple of drinks and risk a close encounter of the murderous kind?A serial killer, crippling fear and paranoia: Are their fears misplaced, or are they warranted?Find out how the night unfolds, and if you’re looking for another old-fashioned whodunit, catch Fahadh Faasil and Soubin Shahir in Irul, now streaming on Netflix.Written & Directed by Nikhil PrasadCast: Anu K Aniyan, Arjun Ratan, Jeevan Stephen, Sabareesh Sajjin, Kiran Viyyath, Unni MathewsDOP/Art: Sunil KarthikeyanEdit: Anand MathewsBGM and Sound Design: Charles NazarethSound Engineer: Jishnu RamPoster Design: Binoy JohnAssociate Camera: Blessan K MonColorist: Srik Varier DI Studio: Poetic prism and pixels studioProduction Coordinator: Biju NarayanProduction Assistants: Babitha Brahmanand, Vivek V BabuSubtitles: Elvis John, Reem NassimFocus Puller: AppuGaffer: Binu P VargheseAssistant Camera: Renju JoseCamera Rentals: Mega FocusCamera Team: Jinesh Balan, Shaji KK, ChandhuLights Rentals: Before & After Film ProductionsGimbal: Sachin, Pranav News Anchor’s Makeup: Irine’s BluntbayArt Assistants: Biju Narayan, Babitha Brahmanand, Vivek V BabuFollow Netflix India on:Website: https://www.netflix.com/YouTube: http://bit.ly/NetflixIndiaYTInstagram: http://www.instagram.com/netflix_inFacebook: http://www.facebook.com/NetflixINTwitter: http://twitter.com/netflixindia#Karikku #Irul #FahadhFaasil #NetflixIndia"
"cdBrUYlzNtk","INDIAN RELATIVES || Sibbu Giri || Aashish Bhardwaj","2021-04-06T04:29:13Z","UCRPAAAUoXNkXQ4OS5C9AewQ","Sibbu Giri","24","21.06.04","sibbu giri|sibbu giri new video|sibbu giri latest video|aunty|types of aunty|desi aunty|every indian aunty|funny video|padosi|comedy video|mother|daughter|home|house|kitchen|roof|fight|chugli|indian relative|relative|indian comedy|sibbu giri video","901662","19876","2869","1797","https://i.ytimg.com/vi/cdBrUYlzNtk/default.jpg","False","False","Follow me onInstagram: https://www.instagram.com/girisibbu/---------------------------------------------------------------------------------Script By - Aashish Bhardwaj           https://www.instagram.com/aashishbhardwajofficialCast  - Sibbu Giri            Rinki Mishra           Jyoti           Shivam Sharma           TejasviShoot By - KapilManaged by-: Sociopool (Sociopool India Private Limited)Business Inquiries-: contact@sociopool.comLike Comment And Share !!"
"LxBdXQ7Mqck","New Punjabi Song 2021 | El Jatt - Varinder Brar | Veer Sandhu | Latest Punjabi Song 2021","2021-04-06T05:30:14Z","UCAua8snb_ZHngxkPyR_SOMA","Varinder Brar","10","21.06.04","new punjabi song 2021|Varinder Brar|Veer Sandhu|el jatt|el jatt song varinder brar|varinder brar veer sandhu song|el jatt punjabi song|varinder brar new song|varinder brar song 2021|varinder brar punjabi song|song new punjabi|punjabi songs|latest punjabi song 2021|new punjabi song|latest punjabi song|punjabi song 2021|varinder song|new punjabi hit song|latest punjabi hit song|el jatt varinder brar|song punjabi|punjabi|new song|song|hits punjabi song","1182201","73998","1615","4504","https://i.ytimg.com/vi/LxBdXQ7Mqck/default.jpg","False","False","Hope You all will show your love and support. Do Comments and share as much as you can.Subscribe Our channel : http://bit.ly/2NT6oZyNew Punjabi Song 2021 | El Jatt - Varinder Brar | Veer Sandhu | Latest Punjabi Song 2021Song : El jattSinger: Veer Sandhu, Varinder BrarVeer Sandhu Part Lyrics : Prabh SanghaVarinder Brar Part lyrics : Varinder BrarMusic : JindMaster/Mix - J statikStarting Dialogue : Prabh SanghaVideo :  Teji Sandhu FilmsFemale Lead : Swati ChauhanLabel : Varinder Brar Music Online Promotions : Gk digitalYoutube Promotions : Black DigitalSpecial Thanks : Sandy Joia (Outlaw Records)Click Here To Subscribe : http://bit.ly/2NT6oZyEnjoy And Stay Connected With  || Varinder BrarTo Get My Latest News, Click Here To SubscribeFacebook : https://www.facebook.com/VarinderBrar001Instagram : https://instagram.com/VarinderBrar00SnapChat : https://www.snapchat.com/add/VarinderBrar01"
